title,company_name,job_description,link,skills
IT-developer! Future assignments await at automotive brand in GBG!,Perido AB,Applikationsutvecklare/Apputvecklare,/platsbanken/annonser/27495152,['Java']
Senior IT-developer! Future assignments await at automotive brand in GBG!,Perido AB,Applikationsutvecklare/Apputvecklare,/platsbanken/annonser/27495142,['Java']
Nyutexaminerad IT Security Engineer,Hubbau,"Säkerhetsansvarig, IT",/platsbanken/annonser/27494979,[]
Epic Owner/Project Leader - Car Service Operations,Volvo Car Corporation,"Projektledare, IT",/platsbanken/annonser/27494837,[]
Projektledare Säkerhet,Trafikverket,"Projektledare, IT",/platsbanken/annonser/27494593,[]
Lösningsexpert arkitektur och produktifiering av digitala tjänster,Recruit & Connect Sweden AB,IT-arkitekt/Lösningsarkitekt,/platsbanken/annonser/27494569,[]
Senior Software Engineers | Customer Acquisition & Services (CAS) | Pole...,Polestar,Systemutvecklare/Programmerare,/platsbanken/annonser/27494529,"['C#', '.NET']"
Senior Software Engineers | Digital Commerce Solutions | Polestar Digital,Polestar,Applikationsutvecklare/Apputvecklare,/platsbanken/annonser/27494528,"['C#', '.NET']"
Digital Integration Leader​ - Car Service Operations,Volvo Car Corporation,"Projektledare, IT",/platsbanken/annonser/27494292,['Azure']
Junior DevOps-ingenjör till Saab Surveillance,NEXER TECH TALENT,Mjukvaruutvecklare,/platsbanken/annonser/27493769,['Java']
Functional safety design engineer,Amaris AB,Systemdesigner,/platsbanken/annonser/27493421,[]
Lead Test Engineer,Volvo Group,Systemtestare,/platsbanken/annonser/27493217,[]
Frontend-utvecklare med intresse för UX till Osstell // Göteborg,Oddwork,Frontend-utvecklare,/platsbanken/annonser/27493102,[]
"Lead architect, Electrical Engineering and Vehicle connectivity (EEVC)",Group Trucks Technology,Mjukvaruutvecklare,/platsbanken/annonser/27493003,[]
Software Resonsible / Release Engineer,Amaris AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27492534,[]
Procurement Engineer,Amaris AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27492492,[]
Är du en C#-utvecklare som letar efter en ny utmaning?,cilbuper IT AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27492419,[]
Är du en C++ utvecklare som letar efter en ny utmaning?,cilbuper IT AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27492416,[]
Är du en Java-utvecklare som letar efter en ny utmaning?,cilbuper IT AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27492411,['Java']
Network Engineer,Amaris AB,Infrastrukturarkitekt,/platsbanken/annonser/27492048,[]
Java Cloud SW developer,Amaris AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27492013,"['Java', 'Azure']"
Java Cloud SW developer,Amaris AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27491984,"['Java', 'Azure']"
Embedded Engineer,Amaris AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27491968,['Python']
Embedded Engineer,Amaris AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27491940,['Python']
DevOps Engineer,Amaris AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27491924,[]
DevOps Engineer,Amaris AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27491921,[]
Software Developer,Amaris AB,Systemutvecklare/Programmerare,/platsbanken/annonser/27491915,[]
Problemlösande junior systemingenjör med sociala färdigheter,Academic Work,Systemadministratör,/platsbanken/annonser/27491697,[]
Software Test Architect - Common Base Technologies,Volvo Car Corporation,Mjukvaruutvecklare,/platsbanken/annonser/27491612,[]
Senior Software Developer Core System Application Integration,Volvo Car Corporation,Systemutvecklare/Programmerare,/platsbanken/annonser/27491611,['Python']
